Pavement,Crooked Rain Crooked Rain,4YqxiKEVG0OuwX0g2XWW99
The Rolling Stones,Tattoo You,15XNBzVWARPMlu0sEbfBjJ
New York Dolls,New York Dolls,2xbTV0Awe4Qm5caUVuPbMr
Bo Diddley,Bo Diddley  Go Bo Diddley,71lvfHjjLerIFN8ZNSrqIe
"Bobby ""Blue"" Bland",Two Steps From the Blues,5EHs7DTqLFlYgbH9kahIp7
The Smiths,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7
Beastie Boys,Licensed to Ill,11oR0ZuqB3ucZwb5TGbZxb
The Meters,Look-Ka Py Py,6mGpQtwteyjKS4Up9tXuND
My Bloody Valentine,Loveless,3GH4IiI6jQAIvnHVdb5FB6
Professor Longhair,New Orleans Piano,4vQc378UGRZAaJemArhMpv
U2,War,05LEST8E8mkEIl2LRfUkcI
Neil Diamond,The Neil Diamond Collection,1HikHsp85mIbnhhxj8X1u1
Green Day,American Idiot,5dN7F9DV0Qg1XRdIgW8rke
Bruce Springsteen,Nebraska,6yskFQZNlLYhkchAxELHi6
Pixies,Doolittle,6ymZBbRSmzAvoSGmwAFoxm
Eric B. & Rakim,Paid in Full,3miZDfDnP7SmOXAJXWdFmz
Aerosmith,Toys in the Attic,36IxIOGEBAXVozDSiVs09B
Bonnie Raitt,Nick of Time,6wxpS5o0ty5CLqyH5fIRln
Queen,A Night at the Opera,6X9k3hSsvQck2OfKYdBbXr
The Kinks,The Kink Kronikles,5lWh5YPOOuvdlSn5hLDn02
The Byrds,Mr. Tambourine Man,0pkrqPjeq9K5KD0hFqAKNa
Simon & Garfunkel,Bookends,3bzgbgiytguTDnwzflAZr2
Patsy Cline,The Ultimate Collection,6TcPqftScGmR0aEgIb43Vv
Jackie Wilson,Mr. Excitement,3NSwSi70V3uSF0EQaz1Zj8
The Who,My Generation,6Oc6Ok1Oawu8lRkjmD4mXy
Howlin' Wolf,Howlin' Wolf,26TtzBrPdUkHMSTPSbctbl
Madonna,Like a Prayer,48AGkmM7iO4jrELRnNZGPV
Steely Dan,Can't Buy a Thrill,4Gh6pRaXqXTtJx4plAJbBw
The Replacements,Let It Be,0jTGHV5xqHPvEcwL8f6YU5
Run D.M.C.,Run D.M.C.,7AFsTiojVaB2I58oZ1tMRg
Black Sabbath,Black Sabbath,6r7LZXAVueS5DqdrvXJJK7
Eminem,The Marshall Mathers LP,6t7956yu5zYf5A829XRiHC
The Mothers of Invention,Freak Out,14XskGyGbsFkXyX7Tb5zFd
The Grateful Dead,LiveDead,6E7JCQINTT4vwRF4wBcsYk
Ornette Coleman,The Shape of Jazz to Come,2iPH3iUmpa9ufIpwY76keF
R.E.M.,Automatic for the People,0BiNb8HYR4JvuxUa31Z58Q
Jay Z,Reasonable Doubt,3YPK0bNOuayhmSrs0sIIBR
David Bowie,Low,2EvTMiJyF3H4BoxNCL4HLh
Jay Z,The Blueprint,2CUT0104gySOIvqwtXeFsX
Bruce Springsteen,The River,6YNIEeDWqC09YIWzhoSVLg
Otis Redding,Complete & Unbelievable The Otis Redding Dictionary of Soul,25uNcuL4dAoV62eKmr8Q0Y
Kraftwerk,Trans Europa Express,0HHRIVjvBcnTepfeRVgS2f
Whitney Houston,Whitney Houston,2MH37enG6IPvNK5QFLyKes
The Kinks,The Kinks Are The Village Green Preservation Society,0YgkR96bK9JSHcj236W9ZK
Janet,The Velvet Rope,6ZANEjETQ9L9pjBuvOAhCQ
Willie Nelson,Stardust,6plr80ML2wuePhF4AqR2bQ
Grateful Dead,American Beauty,022DrG7Wp2PSCwzuD0bSzT
"Crosby, Stills & Nash","Crosby, Stills & Nash",6vUWpE8qciYHOhf7mgaGny
Tracy Chapman,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8
Grateful Dead,Workingman's Dead,4jxokHekH1qSad1DcC82ku
Ray Charles,The Genius of Ray Charles,4GFWnwli2cVOBp2G1zqhV1
"Blood, Sweat & Tears",Child Is Father to the Man,0OhNZ7R4dOqtDPLGp0jBAZ
The Who,Quadrophenia,2miMVTH3qNA49YD2BUaIWK
Paul Simon,Paul Simon,7npBPiCHjPj8PVIGPuHXep
The Jesus and Mary Chain,Psychocandy,2t1hVEwp82QebO7lq21Vto
The Rolling Stones,Some Girls,1Jv2AqzhgsduUik2p4k3cS
The Beach Boys,The Beach Boys Today,1xPtXzS5yCbDAqC7pxRCaF
Sleater Kinney,Dig Me Out,3tshnNFNhHrO6NUQ0BHw42
Smokey Robinson & The Miracles,Going to a Go-Go,2NT1Pc0MXlXORHLBkHyKQW
LaBelle,Nightbirds,5Zx4eUC5dTg6aufiSLQ6uo
Eminem,The Slim Shady LP,0vE6mttRTBXRe9rKghyr1l
Parliament,Mothership Connection,4q1HNSka8CzuLvC8ydcsD2
Janet Jackson,Rhythm Nation 1814,4OD3LU6001esAtFshDX46M
